"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"hsa-miR-423-5p","SP",123,"-0.02 (0.03)",126,"-0.05 (0.03)",0.861147242739134,0.944270812279475,0.615092068636804
"hsa-miR-26a-5p","CG32",192,"0.13 (0.06)",189,"-0.03 (0.08)",0.367363835058177,0.189496169753704,0.858191201838027
"hsa-miR-26a-5p","CG48",197,"0.04 (0.07)",193,"0.12 (0.08)",0.723801247109824,0.788180124478726,0.427910328119105
"hsa-miR-26a-5p","PB",99,"-0.08 (0.1)",78,"0.04 (0.11)",0.933612982514316,0.712048627340464,0.882247839932305
"hsa-miR-26a-5p","SP",123,"-0.02 (0.07)",126,"0.01 (0.08)",0.902099488469886,0.965282461575005,0.713374634328743
"hsa-miR-223-3p","CG32",192,"-0.22 (0.14)",189,"-0.21 (0.1)",0.16524139808531,0.444689854237511,0.058921094580004
"hsa-miR-223-3p","CG48",197,"-0.02 (0.11)",193,"0.06 (0.11)",0.730521777104068,0.505498628458122,0.484287841421755
"hsa-miR-223-3p","PB",99,"0.08 (0.13)",78,"0.01 (0.23)",0.898786906598001,0.657150469175577,0.744360356860241
"hsa-miR-223-3p","SP",123,"-0.11 (0.11)",126,"0.02 (0.11)",0.816993627799405,0.746469196428491,0.758214322568345
"hsa-miR-30d-5p","CG32",192,"0.03 (0.04)",189,"-0.04 (0.04)",0.330650117368003,0.404856765698292,0.503990985124394
"hsa-miR-30d-5p","CG48",197,"0.01 (0.04)",193,"0.04 (0.04)",0.970763290928343,0.972317459726737,0.846371461412208
"hsa-miR-30d-5p","PB",99,"-0.07 (0.06)",78,"-0.02 (0.08)",0.790635873611445,0.495468793681914,0.695362410036404
"hsa-miR-30d-5p","SP",123,"-0.05 (0.04)",126,"-0.03 (0.05)",0.937014009314844,0.71849862436139,0.845902355993756
"hsa-miR-320a","CG32",192,"-0.05 (0.05)",189,"-0.1 (0.05)",0.086874847113524,0.554301139951335,0.0317742171977566
"hsa-miR-320a","CG48",197,"-0.07 (0.05)",193,"-0.05 (0.06)",0.307793604165204,0.160993687180563,0.219067587662485
"hsa-miR-320a","PB",99,"-0.01 (0.07)",78,"0.16 (0.1)",0.318808722008263,0.911859908330735,0.169183917827446
"hsa-miR-320a","SP",123,"-0.14 (0.06)",126,"-0.16 (0.07)",0.337716358775085,0.354490791340405,0.144988602874754
"hsa-miR-23a-3p","CG32",192,"0.12 (0.05)",189,"0.03 (0.06)",0.100587110143213,0.0378183932394937,0.580056396781146
"hsa-miR-23a-3p","CG48",197,"0.13 (0.07)",193,"0.21 (0.08)",0.216287816250241,0.391331144779915,0.0801306114385874
"hsa-miR-23a-3p","PB",99,"0.08 (0.08)",78,"0.13 (0.1)",0.81491643351172,0.525536070589619,0.707291514004404
"hsa-miR-23a-3p","SP",123,"0.03 (0.06)",126,"0.04 (0.06)",0.747461086906108,0.457374819435086,0.599010474379955
"hsa-miR-16-5p","CG32",192,"-0.01 (0.04)",189,"0.01 (0.04)",0.560723999776988,0.778372827817863,0.296818486181368
"hsa-miR-16-5p","CG48",197,"0 (0.04)",193,"-0.01 (0.04)",0.630728342396316,0.372930406479295,0.903493789027924
"hsa-miR-16-5p","PB",99,"-0.02 (0.06)",78,"-0.01 (0.09)",0.918802250293976,0.688967069541253,0.913263072010974
"hsa-miR-16-5p","SP",123,"0.05 (0.04)",126,"0.12 (0.04)",0.380465588754239,0.830453941771865,0.196212848150991
"hsa-let-7i-5p","CG32",192,"0.05 (0.03)",189,"0.04 (0.04)",0.129601926027197,0.0962188661600642,0.0694915767194137
"hsa-let-7i-5p","CG48",197,"0.01 (0.03)",193,"0.05 (0.04)",0.69992283850075,0.549129234874932,0.416891297125185
"hsa-let-7i-5p","PB",99,"-0.02 (0.05)",78,"-0.07 (0.06)",0.393005456058818,0.794283884419725,0.193160808283786
"hsa-let-7i-5p","SP",123,"0.04 (0.04)",126,"0.04 (0.04)",0.755814795478303,0.672305503048858,0.455361546041305
"hsa-miR-146a-5p","CG32",192,"0.05 (0.08)",189,"-0.02 (0.08)",0.464298496264945,0.392437219625896,0.716039350235633
"hsa-miR-146a-5p","CG48",197,"-0.04 (0.08)",193,"0.04 (0.09)",0.784250594783949,0.489945676204127,0.673942494854304
"hsa-miR-146a-5p","PB",99,"0.16 (0.12)",78,"0.04 (0.24)",0.830982842698326,0.54593424528009,0.821924283112466
"hsa-miR-146a-5p","SP",123,"-0.05 (0.08)",126,"0.01 (0.1)",0.963595342918139,0.930546536581847,0.789802041094704
"hsa-miR-191-5p","CG32",192,"0.04 (0.05)",189,"0.01 (0.05)",0.733521181893339,0.474963589594095,0.951614933584027
"hsa-miR-191-5p","CG48",197,"-0.02 (0.04)",193,"0.03 (0.04)",0.956167265574609,0.794350454491358,0.998551578035554
"hsa-miR-191-5p","PB",99,"-0.01 (0.06)",78,"-0.04 (0.08)",0.909870861962496,0.860676130213136,0.791858652497895
"hsa-miR-191-5p","SP",123,"-0.02 (0.05)",126,"-0.08 (0.12)",0.68949227635645,0.935091161817606,0.434718254989802
"hsa-miR-150-5p","CG32",192,"0.08 (0.12)",189,"-0.1 (0.13)",0.460494832446236,0.907226818779523,0.30550302694471
"hsa-miR-150-5p","CG48",197,"0.16 (0.09)",193,"0.07 (0.12)",0.107562911455687,0.051833306450767,0.0957515678915332
"hsa-miR-150-5p","PB",99,"0.26 (0.13)",78,"-0.07 (0.24)",0.44284174355906,0.204736963712684,0.628087995093799
"hsa-miR-150-5p","SP",123,"-0.13 (0.09)",126,"-0.01 (0.13)",0.583999240315337,0.386173037428595,0.352019588160704
"hsa-miR-30e-5p","CG32",192,"0.03 (0.04)",189,"0.01 (0.05)",0.889816407997635,0.821513289202777,0.792937792830709
"hsa-miR-30e-5p","CG48",197,"-0.05 (0.04)",193,"0.01 (0.04)",0.593149769074781,0.378294885342156,0.378124221224931
"hsa-miR-30e-5p","PB",99,"-0.06 (0.07)",78,"-0.01 (0.08)",0.535691524333555,0.295378555802945,0.396803932389452
"hsa-miR-30e-5p","SP",123,"0.01 (0.05)",126,"-0.04 (0.12)",0.41821790753088,0.667784308873845,0.390642080121902
"hsa-miR-24-3p","CG32",192,"0 (0.06)",189,"-0.05 (0.07)",0.485960588863052,0.506124779779381,0.583756458592462
"hsa-miR-24-3p","CG48",197,"0.03 (0.07)",193,"0.11 (0.07)",0.765486190199954,0.954046506357025,0.506232108821014
"hsa-miR-24-3p","PB",99,"0.11 (0.09)",78,"0.16 (0.12)",0.839039181651007,0.555142316746018,0.740868288853703
"hsa-miR-24-3p","SP",123,"0.02 (0.07)",126,"0.03 (0.07)",0.665713265303783,0.588150565270197,0.370004724471763
"hsa-miR-221-3p","CG32",192,"-0.07 (0.12)",189,"-0.2 (0.12)",0.542291011444077,0.697701103034562,0.475339177817178
"hsa-miR-221-3p","CG48",197,"0.04 (0.11)",193,"0.12 (0.12)",0.918786690112677,0.71125635245534,0.98167253270422
"hsa-miR-221-3p","PB",99,"0.12 (0.18)",78,"0.15 (0.25)",0.898327450420076,0.755822377959677,0.652354776007086
"hsa-miR-221-3p","SP",123,"-0.2 (0.1)",126,"-0.15 (0.12)",0.870061933701796,0.687053188649505,0.928853236030666
"hsa-miR-26b-5p","CG32",192,"0.03 (0.06)",189,"-0.05 (0.06)",0.496204946987583,0.768877426318425,0.391534051044576
"hsa-miR-26b-5p","CG48",197,"0.01 (0.06)",193,"0.03 (0.05)",0.97839063118774,0.835350437677744,0.934840744669145
"hsa-miR-26b-5p","PB",99,"-0.06 (0.08)",78,"-0.05 (0.09)",0.844881235236819,0.731424072603061,0.564798316805162
"hsa-miR-26b-5p","SP",123,"-0.03 (0.06)",126,"0.01 (0.06)",0.9593656616015,0.922113049080223,0.777108959236095
"hsa-miR-423-3p","CG32",192,"0.03 (0.08)",189,"-0.08 (0.1)",0.455209206658937,0.446949040094313,0.617967761951385
"hsa-miR-423-3p","CG48",197,"-0.09 (0.08)",193,"-0.02 (0.09)",0.562564036533195,0.293144868104696,0.485346652331063
"hsa-miR-423-3p","PB",99,"0.08 (0.11)",78,"0.19 (0.15)",0.840407132251126,0.585788275778642,0.645544687933015
"hsa-miR-423-3p","SP",123,"-0.12 (0.09)",126,"0 (0.09)",0.584850512839826,0.571027836021448,0.645596236365289
"hsa-let-7d-5p","CG32",192,"0.14 (0.07)",189,"0.07 (0.07)",0.204886338796527,0.152311699435561,0.822566662126673
"hsa-let-7d-5p","CG48",197,"0.03 (0.04)",193,"0.03 (0.05)",0.783111810282765,0.529350284009906,0.968676783250775
"hsa-let-7d-5p","PB",99,"-0.05 (0.11)",78,"0.13 (0.09)",0.339313557547507,0.545336359549026,0.142727591769234
"hsa-let-7d-5p","SP",123,"-0.02 (0.05)",126,"0.01 (0.06)",0.902112199067723,0.922040632992696,0.666016768172548
"hsa-miR-143-3p","CG32",192,"0.07 (0.1)",189,"0.04 (0.08)",0.562712729642318,0.330374173402334,0.933715035293249
"hsa-miR-143-3p","CG48",197,"0.08 (0.07)",193,"0.13 (0.07)",0.535902103990936,0.436221276918641,0.280783713012288
"hsa-miR-143-3p","PB",99,"0.14 (0.1)",78,"0.09 (0.13)",0.721480380122622,0.41917118275653,0.707690628841814
"hsa-miR-143-3p","SP",123,"0.13 (0.09)",126,"0.04 (0.13)",0.549573422217672,0.646967208543515,0.276286588414476
"hsa-let-7d-3p","CG32",192,"0.09 (0.03)",189,"0.09 (0.04)",0.0922788569452232,0.0348243178111691,0.128772768479933
"hsa-let-7d-3p","CG48",197,"0.08 (0.04)",193,"0.16 (0.04)",0.0439701595017307,0.0878241655462776,0.0152653483834905
"hsa-let-7d-3p","PB",99,"0.06 (0.06)",78,"0.18 (0.08)",0.515164490047354,0.381873452667456,0.280982402076911
"hsa-let-7d-3p","SP",123,"0.03 (0.05)",126,"0.03 (0.05)",0.317801544014435,0.152606661190957,0.248682404493259
"hsa-miR-199a-3p|hsa-miR-199b-3p","CG32",192,"0.09 (0.12)",189,"0.07 (0.1)",0.421044111487035,0.19892531551686,0.702823974443667
