"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"hsa-miR-125a-5p","CG32",192,"0.05 (0.12)",189,"0.01 (0.15)",0.805034639317166,0.587495467415942,0.554547019704108
"hsa-miR-125a-5p","CG48",197,"0.33 (0.12)",193,"0.23 (0.09)",0.00603529497886616,0.00620101601298432,0.00551570388379268
"hsa-miR-125a-5p","PB",99,"0.17 (0.17)",78,"-0.05 (0.3)",0.187436077678595,0.067424846869115,0.349035365990704
"hsa-miR-125a-5p","SP",123,"0.03 (0.1)",126,"0.15 (0.14)",0.764204967580805,0.517241252149729,0.974562219699322
"hsa-miR-652-3p","CG32",192,"-0.18 (0.15)",189,"-0.1 (0.09)",0.676817283249707,0.736508647717719,0.583507817331973
"hsa-miR-652-3p","CG48",197,"0.05 (0.11)",193,"0.12 (0.11)",0.853425288648104,0.573638647518433,0.771438701377966
"hsa-miR-652-3p","PB",99,"-0.07 (0.21)",78,"0 (0.25)",0.902498400968617,0.769432536704256,0.657166503304552
"hsa-miR-652-3p","SP",123,"-0.14 (0.13)",126,"-0.21 (0.14)",0.882778234834223,0.689631324221847,0.955502309643378
"hsa-miR-185-5p","CG32",192,"0.15 (0.09)",189,"0.09 (0.09)",0.404982872848456,0.192654999325626,0.728858456151936
"hsa-miR-185-5p","CG48",197,"0.02 (0.05)",193,"0.03 (0.05)",0.848450074318272,0.766492557943863,0.776507068946448
"hsa-miR-185-5p","PB",99,"0.18 (0.15)",78,"0.15 (0.18)",0.80332607959027,0.769627356185407,0.508509008391149
"hsa-miR-185-5p","SP",123,"0 (0.07)",126,"-0.16 (0.16)",0.871252646151719,0.786969215701407,0.801937241260963
"hsa-miR-186-5p","CG32",192,"0.07 (0.1)",189,"-0.07 (0.12)",0.156455708149804,0.070415229529671,0.758160441249121
"hsa-miR-186-5p","CG48",197,"0.07 (0.13)",193,"0.1 (0.1)",0.974957056708876,0.821837472327128,0.915557110086012
"hsa-miR-186-5p","PB",99,"-0.24 (0.19)",78,"-0.01 (0.09)",0.78352403861007,0.686319283857707,0.487695358390907
"hsa-miR-186-5p","SP",123,"-0.06 (0.06)",126,"-0.1 (0.07)",0.421894974704746,0.260346197024767,0.248149906093165
"hsa-miR-222-3p","CG32",192,"-0.07 (0.13)",189,"-0.22 (0.15)",0.122012561372583,0.73800201393382,0.109166742570633
"hsa-miR-222-3p","CG48",197,"0.09 (0.14)",193,"0.05 (0.15)",0.664717824923542,0.366122351063181,0.660758183246806
"hsa-miR-222-3p","PB",99,"0.05 (0.24)",78,"0.14 (0.26)",0.780268139034829,0.48117839239335,0.729997382964333
"hsa-miR-222-3p","SP",123,"-0.42 (0.18)",126,"-0.33 (0.21)",0.591113803454787,0.323849298544774,0.795242241507483
"hsa-miR-98-5p","CG32",192,"-0.01 (0.11)",189,"0.01 (0.12)",0.725119314559022,0.448366523348337,0.549721066329354
"hsa-miR-98-5p","CG48",197,"0.04 (0.13)",193,"0.13 (0.12)",0.811980387884867,0.518816322421847,0.741820374719652
"hsa-miR-98-5p","PB",99,"0.07 (0.27)",78,"0.36 (0.29)",0.831602893447059,0.554318348384581,0.870104085429795
"hsa-miR-98-5p","SP",123,"-0.14 (0.13)",126,"-0.02 (0.11)",0.484350654728047,0.637847615455015,0.47375861490799
"hsa-miR-30a-5p","CG32",192,"0.05 (0.06)",189,"0 (0.06)",0.997451141593731,0.944852391536062,0.985462658347166
"hsa-miR-30a-5p","CG48",197,"0.13 (0.07)",193,"0.2 (0.07)",0.100749626120889,0.182404203321484,0.0345213636568815
"hsa-miR-30a-5p","PB",99,"0.01 (0.09)",78,"-0.09 (0.1)",0.681217434286067,0.879417261226447,0.494496535872994
"hsa-miR-30a-5p","SP",123,"0.1 (0.06)",126,"-0.01 (0.08)",0.428013580982982,0.596196612983834,0.449112153088206
"hsa-miR-10a-5p","CG32",192,"0.24 (0.06)",189,"0.16 (0.06)",0.00591341097831661,0.00245147338393471,0.0168814900771945
"hsa-miR-10a-5p","CG48",197,"0.46 (0.1)",193,"0.48 (0.09)",1.46822311914347e-07,3.23378664159522e-05,1.0729185557243e-07
"hsa-miR-10a-5p","PB",99,"0.07 (0.09)",78,"-0.17 (0.17)",0.368076654155485,0.221753435519281,0.972290333487664
"hsa-miR-10a-5p","SP",123,"0.1 (0.06)",126,"0.02 (0.07)",0.49558495041692,0.357092238492541,0.860725816841678
"hsa-miR-425-5p","CG32",192,"0.06 (0.09)",189,"-0.01 (0.12)",0.163795540417674,0.0575638395588261,0.305822990579877
"hsa-miR-425-5p","CG48",197,"0.04 (0.07)",193,"-0.07 (0.05)",0.853465742574078,0.824833472016698,0.730514984329649
"hsa-miR-425-5p","PB",99,"0.11 (0.12)",78,"-0.02 (0.17)",0.654366000876828,0.84973615313274,0.484836238402361
"hsa-miR-425-5p","SP",123,"-0.03 (0.05)",126,"-0.13 (0.18)",0.414198104577991,0.425030591322986,0.187065141555442
"hsa-miR-10b-5p","CG32",192,"0.28 (0.08)",189,"0.23 (0.09)",0.0200584363371598,0.00870731611268039,0.0334644721185954
"hsa-miR-10b-5p","CG48",197,"0.39 (0.11)",193,"0.41 (0.12)",0.000163007696116358,0.00159418591814557,8.66640120242507e-05
"hsa-miR-10b-5p","PB",99,"0.18 (0.12)",78,"-0.02 (0.15)",0.56081818255032,0.298140665899795,0.79298432104974
"hsa-miR-10b-5p","SP",123,"0.2 (0.09)",126,"0.05 (0.09)",0.351743593507722,0.286462861620973,0.763508985257096
"hsa-miR-101-3p","CG32",192,"0.07 (0.05)",189,"0.01 (0.06)",0.44329896555569,0.306503352800871,0.868700573847105
"hsa-miR-101-3p","CG48",197,"0.02 (0.05)",193,"-0.02 (0.06)",0.414542929137855,0.458675591683531,0.547786932392965
"hsa-miR-101-3p","PB",99,"0.03 (0.08)",78,"0 (0.09)",0.677090969334167,0.433025762076838,0.982858306316394
"hsa-miR-101-3p","SP",123,"0.03 (0.06)",126,"-0.01 (0.06)",0.737552994927839,0.839011754067537,0.45186724141318
"hsa-miR-142-5p","CG32",192,"0.09 (0.1)",189,"-0.09 (0.13)",0.123075011434105,0.0820619360492078,0.926544694890187
"hsa-miR-142-5p","CG48",197,"0.14 (0.09)",193,"0.08 (0.09)",0.884130178779258,0.641613507372407,0.939361126668071
"hsa-miR-142-5p","PB",99,"-0.01 (0.15)",78,"-0.01 (0.18)",0.620303965879401,0.762166943080893,0.336999070965615
"hsa-miR-142-5p","SP",123,"0.04 (0.07)",126,"-0.07 (0.11)",0.995092080227362,0.940296723579786,0.925074143800728
"hsa-miR-28-3p","CG32",192,"-0.09 (0.17)",189,"-0.39 (0.2)",0.0275146274834318,0.980450335284539,0.018749805281153
"hsa-miR-28-3p","CG48",197,"0.23 (0.18)",193,"0.16 (0.2)",0.848062649272436,0.78338059393275,0.75923627585234
"hsa-miR-28-3p","PB",99,"-0.26 (0.29)",78,"-0.29 (0.33)",0.760106583839837,0.459287181925499,0.701291101449747
"hsa-miR-28-3p","SP",123,"-0.36 (0.19)",126,"-0.3 (0.19)",0.628125975344956,0.406827329218518,0.997461840358786
"hsa-miR-151a-3p","CG32",192,"0.05 (0.12)",189,"0.04 (0.16)",0.566159259528871,0.318913993021827,0.876248707842626
"hsa-miR-151a-3p","CG48",197,"0.14 (0.11)",193,"0.18 (0.1)",0.621166549969023,0.710298147192934,0.332495179404673
"hsa-miR-151a-3p","PB",99,"-0.15 (0.15)",78,"0.08 (0.19)",0.710869689083528,0.937961055301198,0.49443534097959
"hsa-miR-151a-3p","SP",123,"0.02 (0.08)",126,"0.01 (0.14)",0.688514588143684,0.391592473965189,0.73504554176062
"hsa-miR-584-5p","CG32",192,"-0.07 (0.15)",189,"-0.12 (0.14)",0.481512694217722,0.982585454243506,0.296547446478003
"hsa-miR-584-5p","CG48",197,"0.01 (0.15)",193,"0.03 (0.16)",0.846265894056936,0.566771837757218,0.730164216845445
"hsa-miR-584-5p","PB",99,"-0.02 (0.22)",78,"-0.03 (0.3)",0.9475056381482,0.746245528920154,0.914917136863937
"hsa-miR-584-5p","SP",123,"-0.35 (0.16)",126,"-0.13 (0.15)",0.726578822715328,0.489644557759094,0.996734805837367
"hsa-miR-193a-5p","CG32",192,"-0.06 (0.14)",189,"-0.29 (0.21)",0.00280907506471948,0.0238726647087669,0.000798560266267945
"hsa-miR-193a-5p","CG48",197,"-0.35 (0.14)",193,"-0.33 (0.14)",0.00598828637353174,0.0108408727147371,0.0033846189494848
"hsa-miR-193a-5p","PB",99,"0.13 (0.3)",78,"0.16 (0.29)",0.687008086263061,0.404141395454461,0.543809274543873
"hsa-miR-193a-5p","SP",123,"-0.38 (0.18)",126,"-0.33 (0.2)",0.504963415070153,0.302203523420299,0.318765480964346
"hsa-miR-126-5p","CG32",192,"0.15 (0.06)",189,"0.09 (0.07)",0.082963264808112,0.0260683190732749,0.345308247100935
"hsa-miR-126-5p","CG48",197,"0.1 (0.06)",193,"0.14 (0.07)",0.315830409200363,0.182896169960834,0.198828906139469
"hsa-miR-126-5p","PB",99,"-0.02 (0.18)",78,"-0.16 (0.28)",0.912598452237993,0.918567739263944,0.753003064284144
"hsa-miR-126-5p","SP",123,"0 (0.08)",126,"-0.1 (0.13)",0.99415931882914,0.958915600108732,0.913861847761057
"hsa-let-7c-5p","CG32",192,"0.07 (0.08)",189,"0.05 (0.11)",0.337613448794764,0.164678769315528,0.268096476115639
"hsa-let-7c-5p","CG48",197,"-0.01 (0.07)",193,"-0.05 (0.11)",0.479479798707619,0.946308534109868,0.305468355391542
"hsa-let-7c-5p","PB",99,"-0.1 (0.14)",78,"-0.05 (0.18)",0.831044605145338,0.874666150151933,0.554583245018636
"hsa-let-7c-5p","SP",123,"-0.03 (0.1)",126,"0.06 (0.1)",0.630822039680395,0.431456194399598,0.382615648751739
"hsa-miR-23b-3p","CG32",192,"0.03 (0.07)",189,"0 (0.08)",0.334300747264263,0.361318093979844,0.143499258004024
"hsa-miR-23b-3p","CG48",197,"0.07 (0.1)",193,"0.06 (0.09)",0.601091252221125,0.441175024185453,0.345058091888532
"hsa-miR-23b-3p","PB",99,"0.01 (0.09)",78,"0.04 (0.1)",0.947339610249467,0.742208228918663,0.874102568795635
"hsa-miR-23b-3p","SP",123,"0.07 (0.07)",126,"-0.04 (0.08)",0.320088176910661,0.137488834665291,0.602128573144664
"hsa-miR-99b-5p","CG32",192,"0.13 (0.1)",189,"0.12 (0.16)",0.339912327911613,0.160389094236756,0.757825124157866
"hsa-miR-99b-5p","CG48",197,"0.27 (0.11)",193,"0.45 (0.12)",0.0134440256244455,0.151143785070481,0.00332787322906081
"hsa-miR-99b-5p","PB",99,"0.04 (0.25)",78,"0.46 (0.22)",0.418082881012198,0.312611252282272,0.217821365005277
"hsa-miR-99b-5p","SP",123,"-0.12 (0.13)",126,"-0.24 (0.19)",0.811655537841415,0.634629503976333,0.891737552608428
"hsa-miR-340-5p","CG32",192,"0.1 (0.14)",189,"-0.07 (0.15)",0.197666133794545,0.301072586162728,0.435108987715523
"hsa-miR-340-5p","CG48",197,"0.12 (0.13)",193,"0.14 (0.12)",0.978554470060086,0.875940028166606,0.964598742417628
"hsa-miR-340-5p","PB",99,"0.01 (0.13)",78,"0.09 (0.23)",0.813467193835275,0.959947440900326,0.558161530850565
"hsa-miR-340-5p","SP",123,"-0.1 (0.16)",126,"-0.07 (0.14)",0.831833206471788,0.915291462900111,0.569471767528343
"hsa-miR-361-3p","CG32",192,"0.26 (0.2)",189,"0.1 (0.19)",0.0286511086585303,0.0402873196956308,0.629109288168146
"hsa-miR-361-3p","CG48",197,"-0.05 (0.15)",193,"0.08 (0.15)",0.738219356921734,0.45446274690953,0.579241416174226
"hsa-miR-361-3p","PB",99,"0.37 (0.27)",78,"0.23 (0.28)",0.111856335498459,0.123545460333404,0.616872206321068
"hsa-miR-361-3p","SP",123,"-0.35 (0.17)",126,"-0.5 (0.2)",0.105234540017628,0.143650953546032,0.0387350442251291
"hsa-miR-1-3p","CG32",192,"-0.03 (0.23)",189,"0.2 (0.22)",0.579803521089863,0.36921256516253,0.366190966191754
"hsa-miR-1-3p","CG48",197,"-0.07 (0.22)",193,"0.07 (0.19)",0.802537718153847,0.625219639539213,0.877414031495735
"hsa-miR-1-3p","PB",99,"-0.19 (0.32)",78,"-0.46 (0.42)",0.880089238467299,0.974622283282057,0.669599906479067
"hsa-miR-1-3p","SP",123,"-0.02 (0.25)",126,"0.21 (0.28)",0.228869156358699,0.757954794663763,0.106909463536955
"hsa-miR-574-5p","CG32",192,"-0.08 (0.19)",189,"-0.07 (0.19)",0.970485262682898,0.932767467644523,0.873493981780449
"hsa-miR-574-5p","CG48",197,"0.09 (0.15)",193,"0 (0.18)",0.950575299468957,0.766444984267972,0.806661602125143
"hsa-miR-574-5p","PB",99,"0.02 (0.31)",78,"0.29 (0.31)",0.507375519848624,0.934073625617787,0.327878474701113
"hsa-miR-574-5p","SP",123,"-0.13 (0.12)",126,"-0.27 (0.19)",0.71664399094197,0.415279855263485,0.646858172873255
"hsa-miR-361-5p","CG32",192,"0.23 (0.16)",189,"-0.27 (0.2)",0.0649612833437942,0.593751339672528,0.0844495659246992
"hsa-miR-361-5p","CG48",197,"0.05 (0.18)",193,"0.21 (0.17)",0.777788419788416,0.495433553219143,0.871525668564239
"hsa-miR-361-5p","PB",99,"-0.33 (0.32)",78,"-0.02 (0.34)",0.995931908316442,0.952399045850351,0.975580746332017
"hsa-miR-361-5p","SP",123,"-0.34 (0.18)",126,"-0.38 (0.18)",0.66859685512705,0.386916863668485,0.519715610331238
"hsa-miR-363-3p","CG32",192,"0.05 (0.1)",189,"0.03 (0.11)",0.395046731202687,0.315687819726074,0.195278342399788
"hsa-miR-363-3p","CG48",197,"0.03 (0.1)",193,"0.08 (0.1)",0.736142148431824,0.63076372046278,0.439169673208827
"hsa-miR-363-3p","PB",99,"0.05 (0.12)",78,"-0.03 (0.13)",0.686133824058745,0.83894219636736,0.402377136816904
"hsa-miR-363-3p","SP",123,"-0.02 (0.13)",126,"0.13 (0.11)",0.453367901972502,0.461361497224109,0.613534946436712
"hsa-miR-483-5p","CG32",192,"-0.34 (0.13)",189,"-0.23 (0.14)",0.00037115441756699,0.00028524683104287,0.00142701065864725
"hsa-miR-483-5p","CG48",197,"-0.35 (0.16)",193,"-0.29 (0.15)",0.018860060950055,0.019448382743996,0.0119638201783534
"hsa-miR-483-5p","PB",99,"-0.02 (0.22)",78,"0.15 (0.21)",0.842068845843618,0.834469122471872,0.56141290728838
"hsa-miR-483-5p","SP",123,"0.06 (0.12)",126,"-0.23 (0.17)",0.294386316340756,0.586493911483016,0.323289369934391
"hsa-miR-335-5p","CG32",192,"-0.03 (0.11)",189,"0 (0.12)",0.247232937027559,0.277472352246046,0.56330004439638
"hsa-miR-335-5p","CG48",197,"0.13 (0.08)",193,"0.13 (0.11)",0.555054131543086,0.282446896091784,0.513764359935345
"hsa-miR-335-5p","PB",99,"0.26 (0.19)",78,"0.02 (0.24)",0.824037867629358,0.55140983847883,0.896973575261021
"hsa-miR-335-5p","SP",123,"-0.03 (0.13)",126,"-0.4 (0.2)",0.43195828939233,0.580045009886308,0.465974737094339
"hsa-miR-339-5p","CG32",192,"0.28 (0.23)",189,"0.06 (0.25)",0.14710428509187,0.119223619117121,0.785355019070835
"hsa-miR-339-5p","CG48",197,"0.36 (0.23)",193,"-0.05 (0.24)",0.714782065350227,0.668055607584132,0.688227719648856
"hsa-miR-339-5p","PB",99,"0.17 (0.4)",78,"0.36 (0.45)",0.957045117114158,0.782985218455993,0.970355906426805
"hsa-miR-339-5p","SP",123,"0.05 (0.28)",126,"-0.05 (0.31)",0.746887035074375,0.871310558544518,0.468131261539193
"hsa-miR-28-5p","CG32",192,"0.1 (0.18)",189,"-0.09 (0.19)",0.359282508932816,0.279910269950916,0.771761263513671
"hsa-miR-28-5p","CG48",197,"0.23 (0.2)",193,"0.1 (0.19)",0.964861077390907,0.818252810514922,0.81699383699734
"hsa-miR-28-5p","PB",99,"0.17 (0.32)",78,"0.46 (0.33)",0.936037084673554,0.894856411521852,0.718479859609591
"hsa-miR-28-5p","SP",123,"-0.4 (0.22)",126,"-0.14 (0.23)",0.818040357065673,0.795711658706567,0.713454342860719
"hsa-miR-181b-5p","CG32",192,"0.21 (0.13)",189,"-0.05 (0.19)",0.044364570659487,0.163321265654957,0.260602772970042
"hsa-miR-181b-5p","CG48",197,"0.35 (0.15)",193,"0.23 (0.16)",0.177555064518505,0.333277312858836,0.0631874866675421
"hsa-miR-181b-5p","PB",99,"0.31 (0.32)",78,"0.51 (0.29)",0.494492146072747,0.476204780862301,0.240018972577957
"hsa-miR-181b-5p","SP",123,"0.06 (0.12)",126,"-0.31 (0.21)",0.195532474457532,0.764007306094598,0.0914814429791001
"hsa-miR-409-3p","CG32",192,"-0.07 (0.26)",189,"-0.04 (0.27)",0.671046856309975,0.521859535072207,0.81849485838628
"hsa-miR-409-3p","CG48",197,"0.23 (0.24)",193,"0.1 (0.24)",0.991316283563617,0.953207511991404,0.94038506976436
"hsa-miR-409-3p","PB",99,"-0.13 (0.44)",78,"-0.28 (0.44)",0.912943143252748,0.669785923679144,0.830693634839175
"hsa-miR-409-3p","SP",123,"-0.18 (0.3)",126,"0.1 (0.28)",0.775620660451296,0.76526838699401,0.478275156496191
"hsa-miR-148b-3p","CG32",192,"0.07 (0.05)",189,"-0.07 (0.08)",0.10112787347976,0.0549009113400561,0.910975033693023
"hsa-miR-148b-3p","CG48",197,"0.04 (0.07)",193,"0.08 (0.07)",0.822024780643984,0.640495032252663,0.554149287474946
"hsa-miR-148b-3p","PB",99,"0.15 (0.22)",78,"0.09 (0.26)",0.663883020803111,0.675591559597849,0.615841456665491
"hsa-miR-148b-3p","SP",123,"-0.3 (0.16)",126,"-0.11 (0.15)",0.433024050283177,0.280407323181172,0.245134989852597
"hsa-miR-375","CG32",192,"0.47 (0.15)",189,"0.36 (0.16)",0.0100855332472666,0.00839810491618636,0.00943267405722982
"hsa-miR-375","CG48",197,"0.53 (0.15)",193,"0.43 (0.15)",0.000747105226257881,0.00120378189925095,0.000952526462438974
"hsa-miR-375","PB",99,"0.3 (0.16)",78,"0.07 (0.23)",0.179338323194075,0.0642447137037314,0.427970009647969
"hsa-miR-375","SP",123,"0.14 (0.13)",126,"-0.23 (0.19)",0.415569824720281,0.185484880224976,0.53280993513368
"hsa-miR-30b-5p","CG32",192,"0.31 (0.15)",189,"0.01 (0.2)",0.350388647853769,0.147617769874409,0.493526071730177
"hsa-miR-30b-5p","CG48",197,"0.33 (0.14)",193,"0.19 (0.17)",0.159370700950085,0.0885641572514162,0.110315421125513
"hsa-miR-30b-5p","PB",99,"-0.34 (0.35)",78,"0.03 (0.3)",0.727295089042585,0.885615781221939,0.448955453131132
"hsa-miR-30b-5p","SP",123,"-0.06 (0.17)",126,"-0.3 (0.24)",0.929344630845793,0.987531753186095,0.747669655066975
"hsa-miR-192-5p","CG32",192,"-0.01 (0.1)",189,"-0.02 (0.12)",0.356869396583911,0.161267652658524,0.337814596129826
"hsa-miR-192-5p","CG48",197,"0.09 (0.12)",193,"-0.1 (0.13)",0.780211321061474,0.625152402610363,0.495724553356567
"hsa-miR-192-5p","PB",99,"-0.1 (0.14)",78,"0 (0.11)",0.798313017280598,0.555564489781278,0.997922061434068
"hsa-miR-192-5p","SP",123,"0.01 (0.08)",126,"0 (0.07)",0.670332367786506,0.532453524006387,0.385039552595159
"hsa-miR-2110","CG32",192,"-0.05 (0.2)",189,"-0.01 (0.2)",0.894431115660681,0.723126650030841,0.920844917883485
"hsa-miR-2110","CG48",197,"0.31 (0.18)",193,"0.41 (0.19)",0.019608637403985,0.212746837896795,0.00509515124058912
"hsa-miR-2110","PB",99,"0.63 (0.41)",78,"0.64 (0.45)",0.166795660114887,0.146898106168339,0.0778083768064792
"hsa-miR-2110","SP",123,"-0.29 (0.24)",126,"-0.27 (0.25)",0.82078886159362,0.548950379878106,0.64052187242387
"hsa-miR-342-5p","CG32",192,"-0.13 (0.24)",189,"-0.51 (0.28)",0.0144914375734365,0.990540030781908,0.0113793142125447
"hsa-miR-342-5p","CG48",197,"0.15 (0.26)",193,"0.03 (0.23)",0.511535336611112,0.42671375374681,0.2620713186109
"hsa-miR-342-5p","PB",99,"-0.02 (0.42)",78,"0.16 (0.44)",0.490981482880387,0.899627368553984,0.272069214705299
"hsa-miR-342-5p","SP",123,"-0.52 (0.33)",126,"-0.19 (0.32)",0.377198299293449,0.166352828473202,0.391525466921041
"hsa-miR-486-3p","CG32",192,"-0.05 (0.13)",189,"0.01 (0.17)",0.364279573346741,0.838950309143484,0.184708543623103
"hsa-miR-486-3p","CG48",197,"0.29 (0.12)",193,"0.23 (0.15)",0.104376872611664,0.0903008595036161,0.0515754527366352
"hsa-miR-486-3p","PB",99,"0.03 (0.27)",78,"0.15 (0.3)",0.306526523156476,0.814395726401923,0.148478241827695
"hsa-miR-486-3p","SP",123,"0.1 (0.13)",126,"-0.17 (0.24)",0.50418108634166,0.41059141571448,0.256554827897472
"hsa-miR-629-5p","CG32",192,"0.11 (0.16)",189,"-0.15 (0.19)",0.295833589614581,0.138795772308176,0.769768804093591
"hsa-miR-629-5p","CG48",197,"0.31 (0.16)",193,"0.18 (0.19)",0.746948029596315,0.502815837989776,0.517994555407222
"hsa-miR-629-5p","PB",99,"0.09 (0.32)",78,"-0.25 (0.35)",0.935258288730494,0.832192631413096,0.873452677624743
"hsa-miR-629-5p","SP",123,"-0.06 (0.08)",126,"-0.04 (0.11)",0.915044185032412,0.741061563901809,0.694358709670747
"hsa-miR-99a-5p","CG32",192,"-0.13 (0.11)",189,"-0.16 (0.09)",0.440067866530978,0.270810400571898,0.2671347763417
"hsa-miR-99a-5p","CG48",197,"0.01 (0.12)",193,"0.05 (0.11)",0.71907686313437,0.561536798648044,0.436175478932934
"hsa-miR-99a-5p","PB",99,"-0.09 (0.17)",78,"-0.3 (0.25)",0.744057727955369,0.733116216868075,0.660143263871339
"hsa-miR-99a-5p","SP",123,"-0.01 (0.12)",126,"-0.12 (0.15)",0.192279812851891,0.467690674852674,0.286422752791625
"hsa-miR-877-5p","CG32",192,"0.06 (0.19)",189,"-0.02 (0.19)",0.535665658451237,0.275630670314109,0.749519752371669
"hsa-miR-877-5p","CG48",197,"0.4 (0.16)",193,"0.25 (0.18)",0.319365515848537,0.213741553251498,0.175405100755587
"hsa-miR-877-5p","PB",99,"0.34 (0.35)",78,"0.53 (0.42)",0.580240241613535,0.544949923414867,0.300083013694264
"hsa-miR-877-5p","SP",123,"-0.18 (0.18)",126,"-0.16 (0.22)",0.866385117697923,0.661258777742126,0.965573419303894
"hsa-miR-3615","CG32",192,"-0.17 (0.1)",189,"-0.05 (0.14)",0.558477135438912,0.897115667130496,0.318243606760543
"hsa-miR-3615","CG48",197,"0.23 (0.13)",193,"0 (0.16)",0.978984992625696,0.950948079011452,0.840090870040865
"hsa-miR-3615","PB",99,"0.53 (0.36)",78,"0.67 (0.34)",0.475840012960954,0.224860703332602,0.6256461178869
"hsa-miR-3615","SP",123,"-0.19 (0.14)",126,"-0.38 (0.17)",0.916234656898476,0.739961903866609,0.698206611612589
"hsa-miR-155-5p","CG32",192,"0.07 (0.23)",189,"0.08 (0.23)",0.264021912070037,0.124570849476199,0.787294038303572
"hsa-miR-155-5p","CG48",197,"0.24 (0.18)",193,"0.18 (0.21)",0.941736240411983,0.732860728841339,0.909195136992038
"hsa-miR-155-5p","PB",99,"0.03 (0.41)",78,"0.07 (0.4)",0.617730452663381,0.37930872232806,0.966926993731576
"hsa-miR-155-5p","SP",123,"0.15 (0.25)",126,"-0.07 (0.24)",0.705279002412209,0.655828489031985,0.7016391203686
"hsa-miR-500a-3p","CG32",192,"0.1 (0.12)",189,"0 (0.12)",0.864753232986119,0.606074224365143,0.908452904940694
"hsa-miR-500a-3p","CG48",197,"0.04 (0.11)",193,"-0.01 (0.11)",0.24790514662529,0.167528452599421,0.880890006553974
"hsa-miR-500a-3p","PB",99,"-0.3 (0.17)",78,"-0.34 (0.21)",0.949345123951796,0.89303211893537,0.847709498629017
"hsa-miR-500a-3p","SP",123,"-0.03 (0.18)",126,"-0.11 (0.17)",0.78514799313434,0.739948131116847,0.720049606444693
"hsa-miR-328-3p","CG32",192,"-0.04 (0.18)",189,"-0.06 (0.17)",0.831653234189417,0.920058191633005,0.567682250913657
"hsa-miR-328-3p","CG48",197,"0.14 (0.18)",193,"0.14 (0.18)",0.952819450403628,0.839117923149081,0.91488367896617
"hsa-miR-328-3p","PB",99,"0.5 (0.34)",78,"0.68 (0.34)",0.240148603183327,0.117597297621425,0.189951335824049
"hsa-miR-328-3p","SP",123,"-0.1 (0.22)",126,"-0.3 (0.26)",0.559710876986663,0.293682752698386,0.459209878741371
"hsa-miR-885-5p","CG32",192,"-0.55 (0.17)",189,"-0.32 (0.18)",0.000592767435489462,0.000246928210661533,0.00460451867077118
"hsa-miR-885-5p","CG48",197,"-0.13 (0.18)",193,"-0.36 (0.18)",0.145147808835717,0.10048465168995,0.0816584995032836
"hsa-miR-885-5p","PB",99,"-0.18 (0.29)",78,"-0.11 (0.29)",0.935651425289707,0.716824349883736,0.887739071462186
"hsa-miR-885-5p","SP",123,"-0.06 (0.16)",126,"-0.43 (0.23)",0.185751222479731,0.930968383536931,0.104490084883323
"hsa-miR-197-3p","CG32",192,"0.16 (0.13)",189,"-0.07 (0.13)",0.299531599903315,0.26370019869226,0.69358165100454
"hsa-miR-197-3p","CG48",197,"0.15 (0.13)",193,"-0.22 (0.17)",0.793918079707239,0.502011475576243,0.813691380958992
"hsa-miR-197-3p","PB",99,"0.32 (0.29)",78,"0.66 (0.31)",0.0452176042078803,0.0296597631208673,0.0350559847112805
"hsa-miR-197-3p","SP",123,"-0.05 (0.14)",126,"-0.06 (0.18)",0.970455642380955,0.810660595699529,0.868688827672615
"hsa-miR-100-5p","CG32",192,"-0.03 (0.15)",189,"-0.13 (0.16)",0.65453303800515,0.397218261993065,0.465697048303396
"hsa-miR-100-5p","CG48",197,"0.19 (0.15)",193,"0.14 (0.14)",0.543533657699779,0.338773009671507,0.34342114060992
"hsa-miR-100-5p","PB",99,"0.23 (0.27)",78,"0.25 (0.28)",0.479436846796771,0.367221992843759,0.252294162067565
"hsa-miR-100-5p","SP",123,"0.09 (0.15)",126,"-0.12 (0.14)",0.365414887044879,0.525455378967672,0.440394181423111
"hsa-miR-133a-3p","CG32",192,"-0.2 (0.3)",189,"0.26 (0.32)",0.943364213628115,0.822540657172369,0.739904062119811
"hsa-miR-133a-3p","CG48",197,"0.19 (0.29)",193,"0.17 (0.29)",0.45030002930052,0.220234565891694,0.396777887441888
"hsa-miR-133a-3p","PB",99,"0.52 (0.45)",78,"0.54 (0.52)",0.535246930801537,0.283937084040536,0.796295148049144
"hsa-miR-133a-3p","SP",123,"-0.89 (0.34)",126,"-0.03 (0.36)",0.0987976215679838,0.0718000142399261,0.933778214988464
"hsa-miR-181a-2-3p","CG32",192,"-0.02 (0.18)",189,"-0.31 (0.18)",0.0210835147304446,0.680265852190001,0.0281357653520972
"hsa-miR-181a-2-3p","CG48",197,"-0.12 (0.18)",193,"0.14 (0.17)",0.164377584371551,0.225677452144121,0.490684368221621
"hsa-miR-181a-2-3p","PB",99,"0.37 (0.28)",78,"0.13 (0.42)",0.485926944022473,0.231622345892088,0.501756810011955
"hsa-miR-181a-2-3p","SP",123,"-0.51 (0.26)",126,"0.01 (0.23)",0.928272755909048,0.718462239973052,0.9486139527841
