"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"exRNA000004","hsa-let-7a-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000004","hsa-let-7a-5p",12,"CG32",192,0.0891146807178561,0.510058631592837,0.0368103110315771,0.0726069393412944,0.0762090903724326,0.650246845645277,"MIR"
"exRNA000004","hsa-let-7a-5p",12,"CG48",197,0.0560359225273811,0.566851557334794,0.0403865012411565,0.07964788389639,0.0814941189480525,0.69120547658663,"MIR"
"exRNA000004","hsa-let-7a-5p",12,"PB",99,-0.0118613493411862,0.702773675329526,0.0706314119274873,0.140165738236081,-0.0267529146767611,0.894747079283446,"MIR"
"exRNA000004","hsa-let-7a-5p",12,"SP",123,0.0162250691561791,0.508978735971763,0.0458930670917151,0.0908499100381376,-0.0279400753067574,0.507658165070982,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"CG32",189,0.0248426052430131,0.577578353321145,0.0420126432359063,0.0828767739197979,0.0594646580865259,0.722852639620163,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"CG48",193,0.0912649752886989,0.584389555338229,0.0420652806505483,0.0829694119613466,0.0830448157189956,0.752885114349747,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"PB",78,0.0956317577577576,0.646456365117116,0.0731967695798705,0.145753389154148,-0.0043372232044927,0.847643672528639,"MIR"
"exRNA000004","hsa-let-7a-5p",24,"SP",126,0.017929295068486,0.535978462752729,0.0477487565312021,0.0945007152459084,0.0292443685677979,0.538771787537816,"MIR"
"exRNA000005","hsa-let-7b-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000005","hsa-let-7b-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000005","hsa-let-7b-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000005","hsa-let-7b-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000005","hsa-let-7b-5p",12,"CG32",192,0.067904985546878,0.49556250978917,0.035764143553383,0.0705434137556259,0.0045037535397574,0.533159455396616,"MIR"
"exRNA000005","hsa-let-7b-5p",12,"CG48",197,0.0847431620038794,0.539661948407178,0.0384493218147389,0.0758274924957962,0.0975126424222026,0.575703932320414,"MIR"
"exRNA000005","hsa-let-7b-5p",12,"PB",99,0.0448338438532766,0.664433590665813,0.0667780884347602,0.132518943173071,0.103034401240993,0.672676399629487,"MIR"
"exRNA000005","hsa-let-7b-5p",12,"SP",123,0.0120107590694694,0.520788536862779,0.0469579209772048,0.0929578946604591,-0.00863513679714423,0.477609179463112,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"CG32",189,0.066627960996313,0.511561602719602,0.0372106312237381,0.0734040239750269,0.0734050617507886,0.562407160765765,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"CG48",193,0.0703622213223986,0.563903985692663,0.0405906970811545,0.0800609485029227,0.0489699216594381,0.574737494764836,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"PB",78,0.182471545454927,0.887658555454306,0.100507539650288,0.200136080098308,0.0642394478011177,1.09244677665653,"MIR"
"exRNA000005","hsa-let-7b-5p",24,"SP",126,0.000769738171034453,0.454423053783287,0.0404832232359192,0.0801213231333928,-0.0130654095925449,0.54602935204927,"MIR"
"exRNA000006","hsa-miR-486-5p",0,"CG32",192,0,0,0,0,0,0,"MIR"
"exRNA000006","hsa-miR-486-5p",0,"CG48",197,0,0,0,0,0,0,"MIR"
"exRNA000006","hsa-miR-486-5p",0,"PB",99,0,0,0,0,0,0,"MIR"
"exRNA000006","hsa-miR-486-5p",0,"SP",123,0,0,0,0,0,0,"MIR"
"exRNA000006","hsa-miR-486-5p",12,"CG32",192,-0.0691954772772191,0.734155750969123,0.0529831275561419,0.104507205203477,-0.0467672592609674,0.702343943611305,"MIR"
"exRNA000006","hsa-miR-486-5p",12,"CG48",197,0.0275230908808145,0.741580107759625,0.0528353950075894,0.104198860457264,0.0440722551553527,0.666841734811978,"MIR"
"exRNA000006","hsa-miR-486-5p",12,"PB",99,0.00824544575756565,0.835678469830383,0.0839888463577489,0.166673132138666,0.0751300601364768,0.934244702682267,"MIR"
"exRNA000006","hsa-miR-486-5p",12,"SP",123,0.109628422413181,0.727437045626006,0.0655907895173157,0.12984351895832,0.0387240257036261,0.673678754992817,"MIR"
