"id","name","week","arm","n","mean","sd","se","ci","median","iqr","type"
"MVP","MVP",24,"PB",45,-0.284842484317416,1.80178217862999,0.268593828804288,0.541315293267861,-0.546816341915427,2.06254119706838,"PRT"
"MVP","MVP",24,"SP",106,0.0796640090087932,2.59298021716389,0.251852502630335,0.499376988958936,-0.143553108200454,2.44867160793892,"PRT"
"MX1","MX1",24,"CG32",212,0.088003157571919,1.05570113569298,0.0725058516800294,0.142928657083595,0.0978481561125442,1.09637530523801,"PRT"
"MX1","MX1",24,"CG48",206,0.0377213558377848,1.16765553727604,0.0813544162140633,0.160398651688269,-0.0215563319609018,1.04331104764479,"PRT"
"MX1","MX1",24,"PB",87,-0.16421295788397,1.05581838547288,0.113195612557768,0.225025430199767,-0.0430890013750194,1.07272179331128,"PRT"
"MX1","MX1",24,"SP",142,-0.0183582466430761,1.46936956292563,0.123306754565574,0.243769005861978,-0.113500017567354,1.16677040432539,"PRT"
"MYH10","MYH10",24,"CG32",128,0.105883440614404,3.30091161416684,0.291762123309351,0.577344589090922,-0.112455492766568,2.51188910828189,"PRT"
"MYH10","MYH10",24,"CG48",146,0.492056513096172,3.3746229626773,0.27928578357245,0.551997057649194,0.302031551333762,2.42270400940563,"PRT"
"MYH10","MYH10",24,"PB",43,-0.0188001603511609,4.7279338217739,0.721003148447687,1.45504326155677,-0.218863018113652,5.31750245744591,"PRT"
"MYH10","MYH10",24,"SP",97,-0.1550065283363,2.76893603809674,0.28114285877818,0.558064163971261,-0.0528415149181072,1.60162208281737,"PRT"
"MYH11","MYH11",24,"CG32",203,0.199752748148219,2.58354194972803,0.181329096972574,0.357540612593153,0.0738275040950782,2.16266760288485,"PRT"
"MYH11","MYH11",24,"CG48",205,-0.0139440803914844,2.71970222072269,0.189952242642452,0.374521407689752,-0.09698973401267,2.34814914906141,"PRT"
"MYH11","MYH11",24,"PB",85,0.0595710436645523,2.48889838237352,0.2699589327762,0.536842943405198,0.23152101176731,2.92653139874363,"PRT"
"MYH11","MYH11",24,"SP",137,-0.0580282168791232,2.42580303666706,0.207250340048908,0.40985014340922,0.0222762530036569,2.05945533231165,"PRT"
"MYH14","MYH14",24,"CG32",181,0.439139729531236,3.23917050090099,0.240765647201621,0.475086196195007,0.0367879640306228,2.68611624073542,"PRT"
"MYH14","MYH14",24,"CG48",183,-0.406394923724109,2.61984568250872,0.193664565512895,0.382116470557668,-0.00306292121060281,2.14111095827254,"PRT"
"MYH14","MYH14",24,"PB",77,-0.0423360981178872,3.6974314305033,0.42136141724014,0.839213993478245,-0.43896784646261,4.08574266233285,"PRT"
"MYH14","MYH14",24,"SP",131,-0.246615263310571,2.9700790227429,0.259497009077432,0.513383798030896,-0.026696427023758,2.05480871379616,"PRT"
"MYH9","MYH9",24,"CG32",216,0.104762350727609,1.56380577990888,0.106403506044218,0.209727601215458,0.0240789108489015,1.46083552104059,"PRT"
"MYH9","MYH9",24,"CG48",214,0.159365326085839,1.33961218534451,0.0915740037572259,0.180507369053703,0.194786973141333,1.22777405905097,"PRT"
"MYH9","MYH9",24,"PB",91,0.216992499557667,1.36635345004725,0.143232760328721,0.284556878339795,0.231793261744706,1.45370362892949,"PRT"
"MYH9","MYH9",24,"SP",146,-0.164452415865971,1.28184064539415,0.106085886637805,0.209674465105682,-0.0986749777966942,1.19812251868138,"PRT"
"MYL12A","MYL12A",24,"CG32",172,0.0490898445184126,2.80774172962107,0.214088299815204,0.422596164181437,-0.15389109441246,2.57466843204257,"PRT"
"MYL12A","MYL12A",24,"CG48",163,0.322361473159409,2.84795545903696,0.223069087439095,0.440498048317594,0.347845275277631,2.86936045099818,"PRT"
"MYL12A","MYL12A",24,"PB",78,0.356824640819439,2.61756512892702,0.29638088808618,0.59016974611072,0.131146406291057,3.66139168568935,"PRT"
"MYL12A","MYL12A",24,"SP",122,0.0783841493553748,2.70976495505446,0.245330591805727,0.485696615490976,-0.0275846122341807,2.87631915131619,"PRT"
"MYL12B","MYL12B",24,"CG32",172,0.126114050412994,2.73382169553838,0.20845195005693,0.411470382016379,-0.0805827116877982,2.62833270187525,"PRT"
"MYL12B","MYL12B",24,"CG48",162,0.327483166036752,2.72840551105105,0.214363782076772,0.423327331423725,0.27444407234241,2.74564841806217,"PRT"
"MYL12B","MYL12B",24,"PB",78,0.114006700548554,2.55745081823608,0.289574282744301,0.576616063306029,-0.00173803397887085,3.07504197425536,"PRT"
