"Name","Arm","N","Week24 fold change (log2, Mean [SE])","KW Test P value"
"C9orf64","CG48",136,"0.02 (0.12)",0.298065386396972
"C9orf64","PB",54,"-0.16 (0.11)",0.146902078257473
"C9orf64","SP",102,"0.07 (0.15)",0.779937656685346
"CA1","CG32",216,"0.44 (0.19)",0.0345211722022487
"CA1","CG48",214,"0.02 (0.21)",0.723445084946365
"CA1","PB",91,"-0.15 (0.25)",0.403741649683156
"CA1","SP",146,"0.15 (0.25)",0.756277683140635
"CA2","CG32",198,"-0.28 (0.19)",0.252537617009113
"CA2","CG48",191,"-0.22 (0.2)",0.283518578559827
"CA2","PB",84,"-0.07 (0.28)",0.873774652114528
"CA2","SP",130,"-0.16 (0.23)",0.257913774839817
"CACNA2D1","CG32",158,"0.07 (0.16)",0.828261741706411
"CACNA2D1","CG48",146,"0.19 (0.15)",0.346539278145474
"CACNA2D1","PB",61,"-0.2 (0.2)",0.277902852901889
"CACNA2D1","SP",104,"0.25 (0.17)",0.0880470906066526
"CACNA2D2","CG32",142,"0.03 (0.11)",0.79740671580824
"CACNA2D2","CG48",129,"0.09 (0.11)",0.47761963814534
"CACNA2D2","PB",54,"0.08 (0.17)",0.909180632102793
"CACNA2D2","SP",88,"-0.08 (0.11)",0.206352132580393
"CALR","CG32",213,"0.01 (0.12)",0.884623969883011
"CALR","CG48",213,"0.12 (0.11)",0.285975722188667
"CALR","PB",91,"0.02 (0.14)",0.896287931805945
"CALR","SP",145,"0.06 (0.15)",0.809508922012814
"CAMK2D","CG32",117,"-0.06 (0.09)",0.783085204914377
"CAMK2D","CG48",131,"0.04 (0.08)",0.938179815603787
"CAMK2D","PB",58,"0.27 (0.13)",0.221506368140136
"CAMK2D","SP",78,"0.08 (0.1)",1
"CAMP","CG32",208,"0.13 (0.08)",0.0678322488333581
"CAMP","CG48",202,"0.27 (0.08)",0.00328058977123959
"CAMP","PB",84,"-0.02 (0.14)",0.85851622127518
"CAMP","SP",134,"0.1 (0.09)",0.949488699131469
"CAPG","CG32",187,"-0.12 (0.08)",0.513924653905999
"CAPG","CG48",187,"0.05 (0.1)",0.956688990761163
"CAPG","PB",82,"-0.09 (0.1)",0.11555481445814
"CAPG","SP",130,"0 (0.1)",0.300833052365073
"CAPNS1","CG32",121,"0.21 (0.24)",0.0440585400276529
"CAPNS1","CG48",123,"0.04 (0.27)",0.655162636866286
"CAPNS1","PB",58,"0 (0.27)",0.680914751152237
"CAPNS1","SP",73,"-0.15 (0.37)",0.927073868888294
"CARD9","CG32",147,"-0.04 (0.07)",0.71638529034334
"CARD9","CG48",139,"0.07 (0.06)",0.748718670118735
"CARD9","PB",49,"-0.12 (0.13)",0.35747520477685
"CARD9","SP",108,"-0.02 (0.06)",0.832002638714578
"CAT","CG32",216,"-0.05 (0.09)",0.709837144572707
"CAT","CG48",214,"-0.04 (0.1)",0.354220992099899
"CAT","PB",91,"-0.06 (0.14)",0.999063010491325
"CAT","SP",146,"0.13 (0.13)",0.454505213028006
"CD109","CG32",211,"-0.19 (0.1)",0.34897932370856
"CD109","CG48",210,"-0.09 (0.1)",0.729328474317079
"CD109","PB",88,"0.22 (0.18)",0.871361026554451
"CD109","SP",144,"-0.19 (0.12)",0.0457159994947905
"CD14","CG32",216,"0 (0.22)",0.813743462351594
"CD14","CG48",214,"0.13 (0.21)",0.376059996247847
"CD14","PB",91,"0.18 (0.39)",0.641062364221244
"CD14","SP",146,"-0.01 (0.26)",0.863445491364961
"CD163","CG32",215,"0.15 (0.05)",0.020831573137789
"CD163","CG48",213,"0.08 (0.05)",0.0784692847136651
"CD163","PB",89,"0.02 (0.08)",0.724897137819091
"CD163","SP",146,"0.01 (0.05)",0.461691789781772
"CD44","CG32",197,"-0.18 (0.2)",0.4623753264776
"CD44","CG48",195,"-0.5 (0.21)",0.0910902993154852
"CD44","PB",81,"0.37 (0.34)",0.521219779866898
"CD44","SP",127,"-0.54 (0.29)",0.142063485580986
"CD5L","CG32",216,"-0.02 (0.04)",0.399879067318481
"CD5L","CG48",214,"-0.08 (0.05)",0.338199415731236
"CD5L","PB",91,"-0.18 (0.07)",0.14116916670113
"CD5L","SP",146,"-0.03 (0.05)",0.714569849175186
"CDC42BPA","CG32",185,"-0.05 (0.06)",0.493869136540689
"CDC42BPA","CG48",189,"0.01 (0.06)",0.366138639075624
"CDC42BPA","PB",80,"0 (0.08)",0.567272192944526
"CDC42BPA","SP",125,"0.14 (0.07)",0.0399078794215598
"CDC5L","CG32",206,"0.09 (0.08)",0.203840062758501
"CDC5L","CG48",199,"0.06 (0.1)",0.985028947016809
"CDC5L","PB",87,"0.03 (0.13)",0.674689847981204
"CDC5L","SP",143,"0.05 (0.1)",0.383249720464045
"CDH1","CG32",133,"-0.27 (0.21)",0.455209716305154
"CDH1","CG48",134,"0.42 (0.25)",0.560141841310219
"CDH1","PB",68,"-0.29 (0.31)",0.0455557425862279
"CDH1","SP",92,"-0.24 (0.24)",0.690440107534907
"CDH2","CG32",171,"-0.07 (0.14)",0.594893147550731
"CDH2","CG48",181,"0.12 (0.13)",0.486712677228828
"CDH2","PB",75,"0.44 (0.21)",0.039509545093583
"CDH2","SP",124,"-0.13 (0.17)",0.46314023149411
"CDH5","CG32",215,"0.01 (0.13)",0.992525495481834
"CDH5","CG48",214,"-0.09 (0.12)",0.910803195991408
"CDH5","PB",91,"0.28 (0.17)",0.522161785782409
"CDH5","SP",146,"-0.21 (0.15)",0.0927590720338645
"CEACAM8","CG32",204,"0.01 (0.09)",0.44815953571442
"CEACAM8","CG48",201,"0.07 (0.07)",0.751093765017025
"CEACAM8","PB",80,"0.22 (0.1)",0.142948686709332
"CEACAM8","SP",136,"-0.01 (0.1)",0.429511566047967
"CEL","CG32",176,"0.02 (0.16)",0.926879343323986
"CEL","CG48",179,"-0.22 (0.15)",0.0667205826884501
"CEL","PB",75,"-0.17 (0.28)",0.99775530368991
"CEL","SP",116,"-0.22 (0.14)",0.242895242511997
"CELA3A","CG32",216,"0 (0.19)",0.258833003124497
"CELA3A","CG48",213,"-0.16 (0.17)",0.578238468106931
"CELA3A","PB",90,"0.28 (0.29)",0.190951038232461
"CELA3A","SP",146,"-0.2 (0.25)",0.623476704161687
"CELA3B","CG32",204,"-0.1 (0.13)",0.532142619708981
"CELA3B","CG48",199,"0.04 (0.13)",0.525508085770408
"CELA3B","PB",78,"0.41 (0.23)",0.318214928551787
"CELA3B","SP",140,"0.22 (0.13)",0.144850783068806
"CEP170","CG32",158,"-0.02 (0.15)",0.960953634960122
"CEP170","CG48",150,"0.1 (0.13)",0.4645947799836
"CEP170","PB",74,"-0.33 (0.16)",0.0311263445567468
"CEP170","SP",107,"-0.04 (0.16)",0.694718291584645
"CFB","CG32",216,"0 (0.03)",0.877835003348792
"CFB","CG48",214,"-0.02 (0.02)",0.388457290341103
"CFB","PB",91,"-0.01 (0.04)",0.764591129481515
"CFB","SP",146,"-0.06 (0.03)",0.118192356132612
"CFD","CG32",214,"0.07 (0.1)",0.198643589736004
"CFD","CG48",212,"0.28 (0.11)",0.00382118036477543
"CFD","PB",90,"-0.21 (0.2)",0.892669624054876
"CFD","SP",146,"0.02 (0.12)",0.866554879081542
"CFH","CG32",216,"-0.06 (0.02)",0.00101555357246518
"CFH","CG48",214,"-0.05 (0.02)",0.0581619230646222
"CFH","PB",91,"-0.01 (0.03)",0.78979584017779
"CFH","SP",146,"-0.04 (0.02)",0.124850274861317
"CFHR1","CG32",216,"-0.02 (0.03)",0.533915474036016
"CFHR1","CG48",214,"-0.05 (0.03)",0.202576428226346
"CFHR1","PB",91,"-0.06 (0.05)",0.514555972315914
"CFHR1","SP",146,"-0.01 (0.04)",0.988959013948879
"CFHR2","CG32",216,"-0.15 (0.06)",0.0285191799857504
"CFHR2","CG48",214,"-0.11 (0.07)",0.031513018218949
"CFHR2","PB",91,"-0.09 (0.1)",0.425231229817727
"CFHR2","SP",146,"-0.02 (0.08)",0.974241353042015
"CFHR3","CG32",216,"0.06 (0.09)",0.753056626828399
"CFHR3","CG48",214,"-0.16 (0.09)",0.222123877478899
"CFHR3","PB",91,"-0.15 (0.14)",0.711443685688173
"CFHR3","SP",146,"-0.24 (0.09)",0.0240108732610507
"CFI","CG32",216,"-0.05 (0.04)",0.339412238125418
"CFI","CG48",214,"0.09 (0.04)",0.0558431964869063
"CFI","PB",91,"0.08 (0.06)",0.0836648664388826
"CFI","SP",146,"-0.06 (0.05)",0.241077120302713
"CFL1","CG32",143,"-0.15 (0.23)",0.542762581397196
"CFL1","CG48",131,"-0.19 (0.25)",0.889304324515595
"CFL1","PB",48,"0.26 (0.35)",0.117448051107312
"CFL1","SP",101,"-0.07 (0.27)",0.713011410802558
"CGREF1","CG32",120,"0.08 (0.1)",0.63935505255495
"CGREF1","CG48",120,"-0.09 (0.1)",0.325943914644092
"CGREF1","PB",65,"-0.02 (0.12)",0.747724337559789
"CGREF1","SP",72,"0.03 (0.12)",0.957385606285294
"CHI3L1","CG32",109,"-0.01 (0.18)",0.853235634554481
"CHI3L1","CG48",133,"-0.2 (0.18)",0.18866723985535
"CHI3L1","PB",35,"-0.02 (0.49)",0.558159067011089
"CHI3L1","SP",100,"0.01 (0.11)",0.768832498750985
"CHIT1","CG32",122,"-0.01 (0.18)",0.759933947025188
"CHIT1","CG48",124,"-0.34 (0.2)",0.0860077236883827
"CHIT1","PB",58,"-0.05 (0.28)",0.300066090653347
"CHIT1","SP",71,"0.2 (0.27)",0.402727528635695
"CHL1","CG32",216,"-0.08 (0.05)",0.0671118645080344
"CHL1","CG48",214,"-0.11 (0.05)",0.0389058766201479
"CHL1","PB",91,"-0.02 (0.08)",0.651181209549892
"CHL1","SP",146,"-0.07 (0.07)",0.111223362319278
"CHMP4A","CG32",216,"0.02 (0.03)",0.600532953340079
"CHMP4A","CG48",214,"0.02 (0.03)",0.445558680192877
"CHMP4A","PB",91,"-0.04 (0.06)",0.391944878265349
"CHMP4A","SP",146,"-0.01 (0.04)",0.82015707109618
"CLEC3B","CG32",216,"0.09 (0.08)",0.108252154563249
"CLEC3B","CG48",214,"0.18 (0.07)",7.51694884299465e-05
"CLEC3B","PB",91,"-0.03 (0.14)",0.868485689412699
"CLEC3B","SP",146,"-0.02 (0.07)",0.737313413034971
"CLTC","CG32",190,"-0.05 (0.18)",0.6869514425791
"CLTC","CG48",187,"-0.18 (0.17)",0.0887464111812228
"CLTC","PB",79,"0.3 (0.3)",0.382179498497713
"CLTC","SP",134,"0.39 (0.18)",0.0378658735777806
"CLTCL1","CG32",125,"-0.04 (0.18)",0.382516939106529
"CLTCL1","CG48",133,"-0.22 (0.17)",0.17813445752908
"CLTCL1","PB",47,"0 (0.36)",0.788840721632758
"CLTCL1","SP",93,"0.01 (0.17)",0.60151265560279
"CLU","CG32",216,"-0.06 (0.02)",0.00224065348349826
"CLU","CG48",214,"-0.01 (0.02)",0.737886163268261
"CLU","PB",91,"0.04 (0.03)",0.419797127278324
"CLU","SP",146,"-0.05 (0.03)",0.0411383781908015
"CNDP1","CG32",216,"-0.05 (0.06)",0.763441950924253
"CNDP1","CG48",214,"-0.15 (0.06)",0.0249427664541074
"CNDP1","PB",91,"0.01 (0.1)",0.257113287259715
"CNDP1","SP",146,"-0.09 (0.08)",0.221066153874639
"CNN2","CG32",173,"0.16 (0.14)",0.189320877405359
"CNN2","CG48",166,"0.17 (0.14)",0.294677729512432
"CNN2","PB",62,"-0.33 (0.23)",0.0916308698658167
"CNN2","SP",109,"0.19 (0.21)",0.938896215751946
"CNTN1","CG32",164,"-0.03 (0.22)",0.691849414271529
"CNTN1","CG48",153,"-0.23 (0.21)",0.341151503594991
"CNTN1","PB",58,"0.12 (0.37)",0.367223784059819
"CNTN1","SP",113,"0.24 (0.23)",0.340782805026654
"COL12A1","CG32",215,"0.07 (0.19)",0.659199632726627
"COL12A1","CG48",213,"0.16 (0.21)",0.362474330249139
"COL12A1","PB",89,"-0.18 (0.3)",0.715356400355496
"COL12A1","SP",146,"0.13 (0.24)",0.755275780681572
"COL1A1","CG32",155,"-0.34 (0.26)",0.1295894636372
"COL1A1","CG48",159,"0.18 (0.22)",0.5800983844765
"COL1A1","PB",57,"-0.09 (0.29)",0.690738690739013
"COL1A1","SP",116,"0.3 (0.24)",0.832102689903848
"COL3A1","CG32",143,"-0.1 (0.14)",0.240634642487129
"COL3A1","CG48",142,"0.2 (0.12)",0.293800674851577
"COL3A1","PB",45,"0.18 (0.36)",0.706489314962344
"COL3A1","SP",111,"-0.06 (0.18)",0.861490699751823
"COL5A1","CG32",145,"0.01 (0.12)",0.999187917875802
"COL5A1","CG48",145,"-0.08 (0.13)",0.826981674736219
"COL5A1","PB",51,"0.18 (0.25)",0.199155210177265
"COL5A1","SP",100,"-0.09 (0.16)",0.928137307416845
"COL6A1","CG32",198,"0.18 (0.18)",0.11247157250581
"COL6A1","CG48",185,"-0.01 (0.19)",0.560930308459363
"COL6A1","PB",82,"0.29 (0.3)",0.619747949887866
"COL6A1","SP",123,"-0.01 (0.22)",0.585950905788156
"COL6A3","CG32",216,"0.03 (0.07)",0.713048415486809
"COL6A3","CG48",214,"-0.09 (0.08)",0.703287348035394
"COL6A3","PB",91,"0.12 (0.13)",0.256128553735434
"COL6A3","SP",146,"-0.23 (0.11)",0.0107866470378106
"COLEC11","CG32",152,"0.07 (0.21)",0.0367285031604662
"COLEC11","CG48",161,"-0.05 (0.21)",0.970320398623833
"COLEC11","PB",75,"-0.09 (0.23)",0.693021415833131
"COLEC11","SP",93,"0.11 (0.31)",0.608130970592538
"COMP","CG32",192,"0.32 (0.18)",0.153835236804484
"COMP","CG48",193,"0.32 (0.18)",0.0876009598549776
"COMP","PB",79,"0.42 (0.3)",0.31049275009687
"COMP","SP",135,"0.29 (0.22)",0.682041706704823
"COPB1","CG32",142,"0.11 (0.13)",0.101033548314749
"COPB1","CG48",131,"0.23 (0.14)",0.123322738611108
"COPB1","PB",64,"0.19 (0.22)",0.476015591263126
"COPB1","SP",100,"-0.1 (0.18)",0.726193575562926
"CORO1B","CG32",141,"0.03 (0.11)",0.91230685672974
"CORO1B","CG48",144,"-0.06 (0.1)",0.958760764058192
"CORO1B","PB",74,"0 (0.14)",0.922088307316149
"CORO1B","SP",97,"0.09 (0.11)",0.6533906227302
"CP","CG32",216,"-0.07 (0.02)",0.0160844490559453
"CP","CG48",214,"-0.06 (0.02)",0.000744888992962852
"CP","PB",91,"0.01 (0.03)",0.585018344738555
"CP","SP",146,"-0.14 (0.02)",3.08897181219044e-06
"CPB1","CG32",122,"0.06 (0.15)",0.174963820209993
"CPB1","CG48",118,"-0.15 (0.13)",0.495068168713175
"CPB1","PB",65,"0.41 (0.2)",0.0902349727934043
"CPB1","SP",72,"0.43 (0.19)",0.0472624442094073
"CPB2","CG32",216,"0.12 (0.08)",0.0969203149544584
"CPB2","CG48",214,"0.11 (0.07)",0.00709134842698026
"CPB2","PB",91,"0.06 (0.13)",0.750297733160137
"CPB2","SP",146,"0.06 (0.1)",0.1953663635094
"CPM","CG32",198,"0.01 (0.16)",0.89823783756266
"CPM","CG48",191,"0 (0.13)",0.917421004787765
"CPM","PB",82,"-0.07 (0.22)",0.76714816099798
"CPM","SP",135,"-0.08 (0.16)",0.369550608228871
"CPN1","CG32",216,"-0.27 (0.08)",0.000359071329976722
"CPN1","CG48",214,"-0.12 (0.08)",0.103276889490566
"CPN1","PB",91,"-0.13 (0.14)",0.200120754253106
"CPN1","SP",146,"-0.05 (0.09)",0.654559383205799
"CPN2","CG32",216,"-0.06 (0.02)",0.0757962746351119
"CPN2","CG48",214,"-0.02 (0.02)",0.432935421539624
"CPN2","PB",91,"0.04 (0.03)",0.091953576503383
"CPN2","SP",146,"-0.02 (0.02)",0.348394885772135
"CPS1","CG32",111,"0.66 (0.35)",0.143720470073318
"CPS1","CG48",128,"0.08 (0.29)",0.882149498885735
"CPS1","PB",25,"-1.28 (1.02)",0.0522550561401633
"CPS1","SP",102,"0.24 (0.3)",0.0188499806772275
"CRP","CG32",130,"-0.52 (0.2)",0.0237448145917629
"CRP","CG48",124,"-0.92 (0.16)",0.00446757019174173
"CRP","PB",67,"0.02 (0.26)",0.553301492794096
"CRP","SP",105,"-0.05 (0.2)",0.42830912842522
"CRTAC1","CG32",215,"-0.18 (0.14)",0.423908179243827
"CRTAC1","CG48",214,"0.18 (0.14)",0.0394472429097227
"CRTAC1","PB",91,"0.19 (0.22)",0.922352821362407
"CRTAC1","SP",146,"-0.23 (0.17)",0.211760651884652
"CS","CG32",208,"-0.1 (0.09)",0.801972567812158
"CS","CG48",207,"-0.08 (0.09)",0.432208383177247
"CS","PB",87,"0.21 (0.17)",0.502348879273472
"CS","SP",139,"0.01 (0.13)",0.891415451412008
"CSE1L","CG32",128,"-0.21 (0.21)",0.524494820309673
"CSE1L","CG48",107,"-0.21 (0.27)",0.611197708929834
"CSE1L","PB",62,"-0.07 (0.3)",0.914482187820367
"CSE1L","SP",68,"0.35 (0.31)",0.407998012905001
"CSN1S1","CG32",184,"-0.39 (0.21)",0.86119151482273
"CSN1S1","CG48",187,"0.04 (0.2)",0.612750690033978
"CSN1S1","PB",67,"-0.03 (0.45)",0.424617562674333
"CSN1S1","SP",137,"0.02 (0.23)",0.832583130461264
"CST3","CG32",215,"0.09 (0.09)",0.183194873473333
"CST3","CG48",214,"-0.12 (0.1)",0.397916608875305
"CST3","PB",90,"0.25 (0.17)",0.248023215566898
"CST3","SP",146,"-0.07 (0.1)",0.469750764584402
"CTSD","CG32",185,"-0.13 (0.17)",0.273407573040566
"CTSD","CG48",175,"0.13 (0.16)",0.979950931226318
"CTSD","PB",81,"0 (0.16)",0.65726748715545
"CTSD","SP",123,"-0.48 (0.25)",0.0121828256465769
"CTSL","CG32",164,"0.05 (0.09)",0.930090076176787
"CTSL","CG48",166,"-0.03 (0.08)",0.763985962841197
"CTSL","PB",76,"0.09 (0.13)",0.257502848500942
"CTSL","SP",113,"0.04 (0.11)",0.681605384720093
"CTTN","CG32",200,"0.11 (0.06)",0.0990034377732318
"CTTN","CG48",195,"-0.09 (0.08)",0.259919815281438
"CTTN","PB",77,"0.15 (0.13)",0.0476314794374962
"CTTN","SP",136,"0.03 (0.07)",0.573556382535731
"CUL4A","CG32",167,"0.02 (0.1)",0.21312148453611
"CUL4A","CG48",157,"-0.14 (0.09)",0.595613477330186
"CUL4A","PB",76,"0.03 (0.15)",0.55030745238141
"CUL4A","SP",113,"-0.07 (0.1)",0.392873439493192
"CUL4B","CG32",169,"-0.02 (0.07)",0.370348088776233
"CUL4B","CG48",167,"-0.07 (0.08)",0.635317721676706
"CUL4B","PB",70,"-0.2 (0.11)",0.0996291706893183
"CUL4B","SP",118,"-0.05 (0.08)",0.529104393961517
"CXADR","CG32",146,"-0.02 (0.08)",0.908794649282281
"CXADR","CG48",158,"0.06 (0.09)",0.060573413775331
"CXADR","PB",74,"0.08 (0.12)",0.960481339705668
"CXADR","SP",106,"-0.11 (0.09)",0.0664940557863916
"CYB5R2","CG32",141,"-0.12 (0.09)",0.186256858791947
"CYB5R2","CG48",144,"0.02 (0.08)",0.568706650637764
"CYB5R2","PB",70,"0.09 (0.1)",0.218136096174292
"CYB5R2","SP",95,"0.03 (0.08)",0.525013495150255
"CYFIP1","CG32",137,"-0.18 (0.17)",0.245701359921928
"CYFIP1","CG48",130,"0.03 (0.16)",0.840580667192779
"CYFIP1","PB",39,"-0.34 (0.38)",0.671138478952537
"CYFIP1","SP",88,"-0.09 (0.09)",0.741153593985352
"DBH","CG32",184,"0.11 (0.18)",0.90352682403737
"DBH","CG48",192,"0.04 (0.16)",0.674748769007247
"DBH","PB",77,"0.12 (0.33)",0.618292817146134
"DBH","SP",127,"0.12 (0.21)",0.912554040528596
"DCPS","CG32",132,"-0.55 (0.24)",0.0842390015006448
"DCPS","CG48",124,"0.46 (0.22)",0.448931864512514
"DCPS","PB",53,"0.19 (0.33)",0.567858219406924
"DCPS","SP",98,"-0.26 (0.28)",0.0344252597077469
"DCTN1","CG32",191,"-0.04 (0.1)",0.979851574050683
"DCTN1","CG48",195,"0.19 (0.1)",0.389212637342603
"DCTN1","PB",79,"0 (0.18)",0.637662968843461
"DCTN1","SP",141,"-0.04 (0.11)",0.798447187133975
"DDX46","CG32",195,"0.07 (0.04)",0.498643074171942
"DDX46","CG48",198,"0.06 (0.05)",0.964088999047353
"DDX46","PB",84,"0.08 (0.07)",0.228917450858563
"DDX46","SP",140,"0.03 (0.05)",0.422938593758365
"DECR1","CG32",134,"0.01 (0.19)",0.327632097439461
"DECR1","CG48",131,"-0.42 (0.17)",0.0900951620757508
"DECR1","PB",74,"-0.08 (0.23)",0.511868165309263
"DECR1","SP",78,"0.06 (0.24)",0.878078062504385
"DPP3","CG32",142,"-0.08 (0.19)",0.100129128810183
"DPP3","CG48",146,"-0.18 (0.2)",0.50182305750122
"DPP3","PB",61,"-0.44 (0.32)",0.024498315952298
"DPP3","SP",116,"-0.05 (0.22)",0.41694087278412
"DPP4","CG32",155,"-0.1 (0.23)",0.939706118590642
"DPP4","CG48",162,"-0.21 (0.21)",0.346720339055368
"DPP4","PB",42,"-0.43 (0.4)",0.23545228994016
"DPP4","SP",120,"0.24 (0.24)",0.341585785358411
"DSC1","CG32",151,"-0.02 (0.2)",0.653056403150119
"DSC1","CG48",171,"-0.21 (0.22)",0.0964871335441456
"DSC1","PB",64,"-0.09 (0.28)",0.565117848615485
"DSC1","SP",109,"0.22 (0.23)",0.519409946679916
"DSG1","CG32",204,"-0.3 (0.25)",0.312323296894984
"DSG1","CG48",208,"-0.18 (0.25)",0.82993648316882
"DSG1","PB",91,"-0.16 (0.27)",0.746737522131068
"DSG1","SP",136,"0.46 (0.32)",0.142342034366981
"DSP","CG32",216,"-0.12 (0.08)",0.156008364186738
"DSP","CG48",214,"-0.08 (0.07)",0.194629045226311
"DSP","PB",91,"0.16 (0.11)",0.099434276925301
"DSP","SP",146,"-0.05 (0.11)",0.805841736804905
"DYNC1H1","CG32",205,"0.05 (0.21)",0.817312188596929
"DYNC1H1","CG48",199,"-0.02 (0.21)",0.832448127121196
"DYNC1H1","PB",85,"0.14 (0.32)",0.208915597675386
"DYNC1H1","SP",142,"-0.13 (0.26)",0.658574640271501
"DYSF","CG32",159,"-0.04 (0.13)",0.527598234230645
"DYSF","CG48",148,"0.26 (0.16)",0.0860013946811284
"DYSF","PB",75,"0.27 (0.22)",0.545323732926154
"DYSF","SP",78,"0 (0.22)",0.177605740433092
"ECM1","CG32",216,"0.12 (0.05)",0.109202215296106
"ECM1","CG48",214,"0.03 (0.06)",0.239843301284914
"ECM1","PB",91,"-0.04 (0.08)",0.826181104487988
"ECM1","SP",146,"0.09 (0.08)",0.739302365520206
"EEF1A1","CG32",160,"-0.15 (0.12)",0.132160946147813
"EEF1A1","CG48",170,"-0.08 (0.15)",0.618775486728919
"EEF1A1","PB",84,"-0.02 (0.17)",0.500529987620186
"EEF1A1","SP",110,"-0.23 (0.2)",0.055890255383665
"EEF1A1P5","CG32",157,"-0.08 (0.11)",0.0825270681626761
"EEF1A1P5","CG48",169,"-0.02 (0.14)",0.581570341735176
"EEF1A1P5","PB",84,"-0.03 (0.17)",0.556403256633874
"EEF1A1P5","SP",105,"-0.1 (0.18)",0.0885862625098585
"EEF1A2","CG32",148,"0.01 (0.11)",0.752007138139606
"EEF1A2","CG48",152,"-0.16 (0.15)",0.740089438949792
"EEF1A2","PB",82,"-0.18 (0.19)",0.981403961095483
"EEF1A2","SP",99,"-0.37 (0.21)",0.0361944654022569
"EEF2","CG32",175,"-0.18 (0.19)",0.447159267073727
"EEF2","CG48",170,"-0.03 (0.16)",0.546723862262714
"EEF2","PB",71,"0.34 (0.36)",0.891658322464376
"EEF2","SP",120,"0.23 (0.21)",0.887830355443168
"EFEMP1","CG32",205,"-0.06 (0.15)",0.46908062040245
"EFEMP1","CG48",206,"0.09 (0.15)",0.575196201291438
"EFEMP1","PB",90,"-0.43 (0.23)",0.0505527037677574
"EFEMP1","SP",145,"0.22 (0.16)",0.25467277137559
"EHD1","CG32",123,"-0.25 (0.17)",0.140527891207162
"EHD1","CG48",125,"-0.2 (0.16)",0.412049823962202
"EHD1","PB",41,"0.16 (0.37)",0.028799211161758
"EHD1","SP",97,"0.11 (0.18)",0.524298287957369
"EIF3A","CG32",165,"0.19 (0.15)",0.14639477936638
"EIF3A","CG48",162,"0.03 (0.13)",0.856664335593022
"EIF3A","PB",73,"-0.1 (0.21)",0.929435919909781
"EIF3A","SP",113,"-0.04 (0.2)",0.298087321685273
"EIF4A1","CG32",156,"-0.16 (0.17)",0.29424832620564
"EIF4A1","CG48",164,"-0.14 (0.14)",0.401834557877597
"EIF4A1","PB",62,"0 (0.19)",0.98988707179608
"EIF4A1","SP",107,"-0.19 (0.21)",0.0940904269158872
"EIF4A2","CG32",169,"-0.14 (0.14)",0.423201992405676
"EIF4A2","CG48",165,"-0.11 (0.14)",0.213135413324735
"EIF4A2","PB",72,"0.08 (0.17)",0.21134438897584
"EIF4A2","SP",108,"-0.22 (0.18)",0.484837539463798
"EIF4G1","CG32",132,"0.05 (0.13)",0.52428713413035
"EIF4G1","CG48",128,"-0.14 (0.12)",0.297645671650909
"EIF4G1","PB",38,"0.48 (0.33)",0.421016585501875
"EIF4G1","SP",108,"-0.1 (0.16)",0.409203008877368
"EIF5B","CG32",125,"-0.26 (0.23)",0.119876338775601
"EIF5B","CG48",132,"-0.14 (0.22)",0.293634950798488
"EIF5B","PB",57,"-0.04 (0.26)",0.609861736386518
"EIF5B","SP",98,"0.36 (0.23)",0.18026336157637
"ELOC","CG32",144,"-0.2 (0.09)",0.00245268585966685
"ELOC","CG48",136,"0.05 (0.08)",0.777037484487523
"ELOC","PB",50,"0.09 (0.13)",0.988594081477245
"ELOC","SP",116,"0.08 (0.1)",0.485706956726668
"EMC1","CG32",137,"-0.03 (0.11)",0.520091714719773
"EMC1","CG48",115,"-0.01 (0.11)",0.555358243674768
"EMC1","PB",32,"-0.33 (0.31)",0.292430816736842
"EMC1","SP",88,"0.22 (0.11)",0.255146497786311
"EMILIN1","CG32",197,"-0.02 (0.19)",0.797984008657818
"EMILIN1","CG48",198,"-0.19 (0.19)",0.171348127711524
"EMILIN1","PB",82,"-0.24 (0.33)",0.0609024075222786
"EMILIN1","SP",138,"0.01 (0.22)",0.423333621251263
"ENO1","CG32",216,"0.04 (0.14)",0.523576181016831
"ENO1","CG48",214,"0.08 (0.14)",0.76053336531916
"ENO1","PB",91,"-0.05 (0.22)",0.846358716116085
"ENO1","SP",146,"0 (0.14)",0.849996444653895
"ENO2","CG32",203,"0.18 (0.14)",0.703171376503751
"ENO2","CG48",207,"-0.05 (0.13)",0.385950361306999
"ENO2","PB",87,"0.05 (0.17)",0.348544876377972
"ENO2","SP",138,"0.07 (0.16)",0.139665541454379
"ENO3","CG32",196,"0.14 (0.11)",0.535122740165539
"ENO3","CG48",201,"-0.13 (0.12)",0.50714943693503
"ENO3","PB",87,"0.02 (0.18)",0.375938575410981
"ENO3","SP",133,"0.03 (0.15)",0.158911966621477
"ENPEP","CG32",197,"0.03 (0.1)",0.937860571302806
"ENPEP","CG48",196,"0 (0.1)",0.302920496535029
"ENPEP","PB",76,"0.04 (0.15)",0.624786750374247
"ENPEP","SP",143,"0 (0.13)",0.425665461036037
"ENPP2","CG32",185,"-0.03 (0.13)",0.706714577766084
"ENPP2","CG48",195,"0.13 (0.17)",0.24251776691181
"ENPP2","PB",78,"-0.49 (0.26)",0.196606775575858
"ENPP2","SP",137,"-0.43 (0.18)",0.092279431986622
"EPB42","CG32",151,"0.22 (0.16)",0.60423682072119
"EPB42","CG48",159,"0.22 (0.14)",0.314824256977104
"EPB42","PB",69,"0.41 (0.27)",0.892997017921861
