source,target,r,p,t,n,type1,type2,name1,name2,fdr
FPG,HB,0.329333970126408,2.5112714018815e-13,7.53745554538321,471,CLN,CLN,Fasting plasma glucose (mmol/L),Hemoglobin (g/L),1.75110276131196e-11
FPG,HOMA.IR,0.638780675488882,1.35908502675191e-55,18.0184038966942,475,CLN,CLN,Fasting plasma glucose (mmol/L),HOMA-IR,4.85506989556606e-53
FPG,A2M,-0.168841043959922,0.0005354380408673,-3.48965349563962,419,CLN,PRT,Fasting plasma glucose (mmol/L),A2M,0.0085040159431867
FPG,CRP,0.229272649595156,0.0003137188096451,3.65667427353651,245,CLN,PRT,Fasting plasma glucose (mmol/L),CRP,0.0054119990787219
FPG,PCYOX1,0.14200022312259,0.0036636186060185,2.92237802359306,419,CLN,PRT,Fasting plasma glucose (mmol/L),PCYOX1,0.0413157960329045
FPG,PRG4,0.306092640611761,1.7057384146705e-10,6.54996830389281,419,CLN,PRT,Fasting plasma glucose (mmol/L),PRG4,9.452803338579711e-09
FPG,PZP,-0.168338165890547,0.0005566355074776,-3.47895628475622,419,CLN,PRT,Fasting plasma glucose (mmol/L),PZP,0.0087449773231611
FPG,SHBG,-0.141834704409944,0.0037876224566285,-2.9118596651355,417,CLN,PRT,Fasting plasma glucose (mmol/L),SHBG,0.0423033157493574
FPG,MP0009,0.207724826104801,1.90403357446596e-05,4.32603901451789,419,CLN,MTB,Fasting plasma glucose (mmol/L),2-Hydroxybutyric acid,0.0004629493151738
FPG,MP0013,0.193382796046237,7.04631986868309e-05,4.01530238648232,419,CLN,MTB,Fasting plasma glucose (mmol/L),3-Hydroxyisovaleric acid,0.0015010600674387
FPG,MP0015,0.162464059610024,0.0008690852657588,3.35420696090827,419,CLN,MTB,Fasting plasma glucose (mmol/L),3-Methyl-2-oxovaleric acid,0.0128617972408672
FPG,MP0024,0.145696771534425,0.0028617562322803,3.00008188306216,419,CLN,MTB,Fasting plasma glucose (mmol/L),Alpha-Ketoisovaleric acid,0.0342349199966763
FPG,MP0042,0.198894713042496,4.30833377113267e-05,4.13439499171625,419,CLN,MTB,Fasting plasma glucose (mmol/L),D-Gluconolactone,0.0009769483414619
FPG,MP0043,0.709652286825995,4.2123550069083505e-65,20.5190171419859,419,CLN,MTB,Fasting plasma glucose (mmol/L),D-Glucose,1.99614047470228e-62
FPG,MP0064,-0.183794493423063,0.0001605716521152,-3.80906712425638,419,CLN,MTB,Fasting plasma glucose (mmol/L),Glycine,0.0030771658669854
FPG,MP0082,0.204287698052424,2.62746119053336e-05,4.25131320668063,419,CLN,MTB,Fasting plasma glucose (mmol/L),Ketoleucine,0.0006212795197982
FPG,MP0088,-0.190664990959228,8.93606495546526e-05,-3.95672666675299,419,CLN,MTB,Fasting plasma glucose (mmol/L),Glutamine,0.001844403806808
FPG,MP0093,0.185389221564096,0.0001404090432782,3.84328832106476,419,CLN,MTB,Fasting plasma glucose (mmol/L),L-Leucine,0.0027304187639038
FPG,MP0100,-0.144517442188933,0.0030982991747597,-2.97527783787058,419,CLN,MTB,Fasting plasma glucose (mmol/L),L-Threonine,0.036445038924986
FPG,MP0122,0.187558707798246,0.0001167722260292,3.88989377647136,419,CLN,MTB,Fasting plasma glucose (mmol/L),Octanoic acid,0.0023225448242716
FPG,MP0135,0.15514803788119,0.0014831191179178,3.19934596083927,419,CLN,MTB,Fasting plasma glucose (mmol/L),Pyroglutamic acid,0.0199525063256381
FPG,MP0156,-0.225539748894684,3.28890685137608e-06,-4.71610943126526,419,CLN,MTB,Fasting plasma glucose (mmol/L),5-Aminolevulinic acid,9.34741947233203e-05
FPG,ML017,0.183767686828822,0.000263682001675,3.68251800716382,392,CLN,MTB,Fasting plasma glucose (mmol/L),NAGII,0.004713391900612
FPG,ML018,0.162694433355551,0.0012634650665589,3.24798317294348,392,CLN,MTB,Fasting plasma glucose (mmol/L),NAGI,0.0174508425689517
FPG,MS008,0.20063723946842,6.60184521211003e-05,4.03412680949564,392,CLN,MTB,Fasting plasma glucose (mmol/L),Lactate,0.0014141590943283
FPG,MS016,0.222293892524418,9.36109518601631e-06,4.4910492520833,392,CLN,MTB,Fasting plasma glucose (mmol/L),Acetoacetate,0.0002436307217775
FPG,MS018,0.19033531780113,0.0001559613626748,3.81898530091638,392,CLN,MTB,Fasting plasma glucose (mmol/L),N-acetylated glycoproteins,0.0029953869655168
FPG,MS021,0.173210927194688,0.0005910993390868,3.4642221604358,392,CLN,MTB,Fasting plasma glucose (mmol/L),L-Lysine,0.0092054504718963
FPG,MS022,0.168090901171465,0.0008603342484586,3.35879741805152,392,CLN,MTB,Fasting plasma glucose (mmol/L),CH2CH2CO,0.0127566802357655
FPG,MS026,0.256603636185618,2.78383573719485e-07,5.22960993162943,392,CLN,MTB,Fasting plasma glucose (mmol/L),L-Valine,9.8089022485075e-06
FPG,MS027,0.2256051045244,6.82165563588932e-06,4.56150613380177,392,CLN,MTB,Fasting plasma glucose (mmol/L),L-Isoleucine,0.0001820676366268
PBG,FINS,0.22855958483644,5.05145798584044e-07,5.09519237653157,475,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Fasting insulin (mU/L),1.68527089700022e-05
PBG,HOMA.B,-0.229091051151296,5.01767540132734e-07,-5.09683969489476,473,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),HOMA-B,1.67640896142188e-05
PBG,ALT,0.165092768815706,0.000306631387226,3.63663476327811,476,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Alanine aminotransferase (U/L),0.0053373169500663
PBG,UMA,0.139439365810101,0.0023198768246834,3.06252485197117,477,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Urine microalbumin (mg/L),0.0288370127779176
PBG,UMACRR,0.145253972673723,0.0015197503300711,3.18955113727105,476,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Urine microalbumin creatinine ratio (mg/mmol),0.0203392522560534
PBG,HSCRP,0.221744941959422,4.13313624038095e-06,4.66598694534768,425,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Hypersensitive C-reactive protein (mg/L),0.0001153502686317
PBG,FFA,0.144629662802714,0.0016118062827373,3.17218302110404,475,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Free fatty acids (mmol/L),0.0213985945598401
PBG,TG,0.140555677374061,0.0021838454103516,3.08100020484062,475,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Triacylglycerol (mmol/L),0.0273658340142281
PBG,WBC,0.179820303669455,9.32825331122325e-05,3.94187422809169,469,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Leukocyte count (109/L),0.0019117567686372
PBG,RBC,0.276073719175474,1.29235703563599e-09,6.19393279080104,469,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Erythrocyte count (1012/L),6.43959879130207e-08
PBG,HB,0.261795280186572,9.31567736038679e-09,5.84932067148341,469,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),Hemoglobin (g/L),4.15182395984993e-07
PBG,HOMA.IR,0.348450055272667,6.832215904771111e-15,8.05073757155836,473,CLN,CLN,Two-hours postprandial blood glucose (mmol/L),HOMA-IR,5.32362594995924e-13
PBG,exRNA000130,-0.156677942789371,0.0025090386368684,-3.04318821328829,372,CLN,MIR,Two-hours postprandial blood glucose (mmol/L),hsa-miR-215-5p,0.0309235016709584
PBG,exRNA000408,0.147959326176872,0.0043426164837233,2.86994015157098,372,CLN,MIR,Two-hours postprandial blood glucose (mmol/L),hsa-miR-885-3p,0.0470534553206051
